Date,Open,High,Low,Close,Volume,Adj Close,MA_21,MA_50,MA_150,MA_200,WMA_10,WMA_30
1999-12-31,146.84375,147.5,146.25,146.875,3172700,93.60910034179688,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-03,148.25,148.25,143.875,145.4375,8164300,92.69293975830078,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-04,143.53125,144.0625,139.640625,139.75,8089800,89.06809997558594,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-05,139.9375,141.53125,137.25,140.0,12177900,89.22740173339844,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-06,139.625,141.5,137.75,137.75,6227200,87.79340362548828,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-07,140.3125,145.75,140.0625,145.75,8066500,92.89208221435547,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-10,146.25,146.90625,145.03125,146.25,5741700,93.21080017089844,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-11,145.8125,146.09375,143.5,144.5,7503700,92.09541320800781,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-12,144.59375,144.59375,142.875,143.0625,6907700,91.17923736572266,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-13,144.46875,145.75,143.28125,145.0,5158300,92.41404724121094,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-14,146.53125,147.46875,145.96875,146.96875,7437300,93.66886138916016,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-18,145.34375,146.625,145.1875,145.8125,6488500,92.93191528320312,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-19,145.3125,147.0,145.0,147.0,6157900,93.68878173828125,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-20,146.96875,146.96875,143.8125,144.75,5800100,92.25474548339844,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-21,145.5,145.5,144.0625,144.4375,6244800,92.05561065673828,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-24,145.65625,145.84375,139.40625,140.34375,7896900,89.44647979736328,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-25,140.515625,141.9375,139.0,141.9375,9942500,90.4622573852539,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-26,141.0,141.546875,140.09375,140.8125,5158100,89.74525451660156,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-27,141.84375,142.21875,138.125,140.25,10922700,89.3867416381836,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-28,139.4375,140.0625,135.53125,135.875,11916200,86.59839630126953,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-01-31,135.8125,139.671875,135.0,139.5625,10768700,88.94853973388672,142.95833333333334,140.6978125,144.14635416666667,144.76390625,,
2000-02-01,139.75,141.6875,138.53125,140.9375,8419900,89.82493591308594,142.67559523809524,140.6978125,144.14635416666667,144.76390625,,
2000-02-02,141.28125,142.25,140.375,141.0625,6205900,89.90457153320312,142.4672619047619,140.6978125,144.14635416666667,144.76390625,,
2000-02-03,140.875,143.25,140.0,143.1875,7997500,91.25891876220703,142.63095238095238,140.6978125,144.14635416666667,144.76390625,,
2000-02-04,143.1875,144.0,142.125,142.59375,4925400,90.88050842285156,142.75446428571428,140.6978125,144.14635416666667,144.76390625,,
2000-02-07,142.5625,142.78125,141.4375,142.375,5845800,90.74111938476562,142.97470238095238,140.6978125,144.14635416666667,144.76390625,,
2000-02-08,143.96875,144.5625,143.625,144.3125,4936400,91.97589874267578,142.90625,140.6978125,144.14635416666667,144.76390625,,
2000-02-09,144.46875,144.46875,141.265625,141.28125,8511500,90.04400634765625,142.66964285714286,140.6978125,144.14635416666667,144.76390625,,
2000-02-10,141.625,142.5625,140.875,141.5625,6690600,90.2232666015625,142.5297619047619,140.6978125,144.14635416666667,144.76390625,,
2000-02-11,141.84375,141.9375,138.03125,138.6875,9849800,88.3908462524414,142.32142857142858,140.6978125,144.14635416666667,144.76390625,,
2000-02-14,139.78125,139.78125,138.3125,139.5,8528800,88.90877532958984,142.0595238095238,140.6978125,144.14635416666667,144.76390625,,
2000-02-15,139.25,141.21875,137.796875,141.078125,11078300,89.91452026367188,141.77901785714286,140.6978125,144.14635416666667,144.76390625,,
2000-02-16,140.375,140.9375,138.796875,139.0,8845400,88.59007263183594,141.4546130952381,140.6978125,144.14635416666667,144.76390625,,
