Date,Open,High,Low,Close,Volume,Adj Close
2010-09-09,102.5,102.5,101.13999938964844,101.31999969482422,26500,77.72132873535156
2010-09-10,101.68000030517578,101.86000061035156,101.30000305175781,101.77999877929688,8600,78.0741958618164
2010-09-13,102.95999908447266,103.13999938964844,102.5,103.05999755859375,33750,79.0560531616211
2010-09-14,102.83999633789062,103.4800033569336,102.37999725341797,103.04000091552734,59400,79.04073333740234
2010-09-15,102.62000274658203,103.37999725341797,102.4000015258789,103.30000305175781,9250,79.2402114868164
2010-09-16,103.0199966430664,103.31999969482422,102.69999694824219,103.26000213623047,59550,79.20948028564453
2010-09-17,103.87999725341797,103.87999725341797,103.0199966430664,103.36000061035156,49350,79.28619384765625
2010-09-20,103.73999786376953,105.04000091552734,103.45999908447266,105.04000091552734,19000,80.57494354248047
2010-09-21,105.0199966430664,105.44000244140625,104.27999877929688,104.72000122070312,19250,80.3294448852539
2010-09-22,104.55999755859375,105.04000091552734,103.95999908447266,104.16000366210938,18100,79.8998794555664
2010-09-23,103.31999969482422,104.33999633789062,103.12000274658203,103.30000305175781,33350,79.2402114868164
2010-09-24,103.94000244140625,104.9000015258789,103.86000061035156,104.83999633789062,24100,80.8582763671875
2010-09-27,104.9800033569336,104.9800033569336,104.33999633789062,104.33999633789062,15000,80.47261047363281
2010-09-28,104.31999969482422,105.0199966430664,103.41999816894531,105.0199966430664,49850,80.99707794189453
2010-09-29,104.58000183105469,104.91999816894531,104.22000122070312,104.5199966430664,15900,80.6114501953125
2010-09-30,105.19999694824219,105.68000030517578,103.95999908447266,104.36000061035156,44750,80.48806762695312
2010-10-01,105.08000183105469,105.16000366210938,104.16000366210938,104.72000122070312,17100,80.7657241821289
2010-10-04,105.26000213623047,105.26000213623047,103.5,103.83999633789062,88700,80.08699035644531
2010-10-05,105.0199966430664,106.19999694824219,104.81999969482422,106.12000274658203,19850,81.845458984375
2010-10-06,106.12000274658203,106.27999877929688,105.62000274658203,105.94000244140625,276900,81.70663452148438
2010-10-07,106.5,106.5,105.31999969482422,105.87999725341797,49900,81.66033172607422
2010-10-08,106.0199966430664,106.73999786376953,105.66000366210938,106.68000030517578,61550,82.27735900878906
2010-10-11,106.72000122070312,106.83999633789062,106.27999877929688,106.5,14200,82.13853454589844
2010-10-12,106.37999725341797,107.23999786376953,105.73999786376953,107.12000274658203,42050,82.6167221069336
2010-10-13,107.58000183105469,108.27999877929688,107.23999786376953,107.76000213623047,74450,83.11028289794922
2010-10-14,107.69999694824219,107.81999969482422,106.80000305175781,107.36000061035156,19100,82.80182647705078
2010-10-15,108.04000091552734,108.08000183105469,106.72000122070312,107.55999755859375,54950,82.95606231689453
2010-10-18,107.62000274658203,108.44000244140625,107.44000244140625,108.33999633789062,22850,83.55765533447266
