,Return,MDD,Sharpe,Sortino
2005,9.940294796109207,4.89288985432292,1.2382179069242842,2.314239061552211
2006,7.735120418815455,11.54684858405812,0.6152160860287343,1.0094479034041637
2007,19.87718743227882,6.071090107595823,1.6957203664235805,2.262018499044063
2008,-18.606700626512374,29.826992609605185,-0.9866533585643255,-1.4345385638918589
2009,28.31148208578722,8.94612354397469,1.9800924740729626,3.205934165699061
2010,17.911990553056146,6.443558142926367,1.554464503241882,2.089475964291036
2011,6.90587949627226,6.926907020155583,0.4902104715223472,0.7147450511306334
2012,8.961225578702049,6.7000445404526,0.8636913213221039,1.3958477989699907
2013,2.457395684466568,7.792639288393115,0.15607709232905947,0.1870528964411116
2014,8.973973351405329,4.68019479860203,1.069096893093853,1.598352493271622
2015,1.2844422045630521,6.961289153315614,0.03058154492917575,0.046271144921967544
2016,6.638054258735293,6.491041048570015,0.7236661259031619,1.0251833740829597
2017,18.2385148307443,4.361475395414955,2.964706042388236,3.921063614581102
2018,-1.743866015323814,10.27737735417729,-0.24460659243402277,-0.336252295681426
2019,24.830319844310587,3.8057143261417856,3.0801541327188104,5.076163231831996
2020,31.667960008333186,15.691639851186522,1.6391374702527852,1.9084473233190848
2021,10.779658694441308,8.398186466856686,0.9012431249240211,1.2753592140345371
2022,-20.27219935993889,24.09019233054028,-1.200298596497279,-2.026571556239907
2023,28.848129457280216,7.745125997191858,2.652705068308761,4.413357536409311
2024,20.918385070749302,6.835972344269381,1.805698885343453,2.5208666677624905
