year,final_asset_ratio,profit_ratio,CAGR,MDD,Sharpe,Sortino,Std_Dev
2009,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00
2010,1.0000,0.0000,0.00,0.00,-92778218580649600.00,-92778218580649600.00,0.00
2011,1.0802,0.0802,8.02,-3.71,0.82,1.22,0.09
2012,1.0749,0.0749,7.55,-4.49,1.05,1.55,0.06
2013,0.9343,-0.0657,-6.57,-11.91,-0.87,-1.15,0.09
2014,1.0604,0.0604,6.04,-4.69,0.86,1.23,0.06
2015,0.8993,-0.1007,-10.07,-13.86,-1.31,-1.92,0.09
2016,1.0484,0.0484,4.84,-9.76,0.48,0.66,0.09
2017,1.1410,0.1410,14.16,-2.91,2.12,3.41,0.06
2018,0.9009,-0.0991,-9.95,-13.73,-1.51,-2.17,0.07
2019,1.1571,0.1571,15.71,-2.52,2.18,3.81,0.06
2020,1.1314,0.1314,13.08,-18.94,0.86,0.90,0.14
2021,1.0355,0.0355,3.55,-5.60,0.36,0.50,0.08
2022,0.7846,-0.2154,-21.62,-25.96,-1.79,-3.11,0.14
2023,1.0502,0.0502,5.06,-12.22,0.42,0.68,0.11
2024,0.9963,-0.0037,-0.37,-7.62,-0.11,-0.15,0.09
2025,1.0458,0.0458,29.22,-1.39,3.05,4.99,0.08
