Date,Value
2005-01-28,100000.0
2005-01-31,100000.0
2005-02-01,100000.0
2005-02-02,99896.954053483
2005-02-03,99361.06240137576
2005-02-04,99261.12458952426
2005-02-07,99102.99655397891
2005-02-08,99212.31766661166
2005-02-09,99446.06074961185
2005-02-10,99821.23820265292
2005-02-11,100039.70342501163
2005-02-14,100708.42672785281
2005-02-15,100598.83115061282
2005-02-16,100327.18329580783
2005-02-17,100428.4647699213
2005-02-18,100462.34413870334
2005-02-22,101308.50730856418
2005-02-23,101238.06458815097
2005-02-24,101083.15271337985
2005-02-25,101299.56654985904
2005-02-28,101105.59405382632
2005-03-01,100522.06547983646
2005-03-02,100582.51468960475
2005-03-03,100281.45091549587
2005-03-04,100864.10379330348
2005-03-07,101063.86496273708
2005-03-08,101491.12279049587
2005-03-09,101052.58539883327
2005-03-10,101290.60115353297
2005-03-11,101513.87890164088
2005-03-14,101007.4696914358
2005-03-15,100829.58539883327
2005-03-16,101329.8939544363
2005-03-17,100647.99721829128
2005-03-18,100592.07922665309
2005-03-21,99564.42001644801
2005-03-22,98688.85936276149
2005-03-23,98569.19792477321
2005-03-24,98671.77942196559
2005-03-28,98725.90213314723
2005-03-29,98844.87018124294
2005-03-30,99003.97115627956
2005-03-31,99447.24384609889
2005-04-01,99010.40439144801
2005-04-04,98471.27428520107
2005-04-05,98687.35358322048
2005-04-06,98889.09104621792
2005-04-07,98540.38764846706
2005-04-08,98799.69241035366
2005-04-11,99070.92732322597
2005-04-12,99267.60841453457
2005-04-13,99520.96087921047
2005-04-14,98725.04933059597
2005-04-15,99051.40477455044
2005-04-18,99357.46608627224
2005-04-19,100248.77388275051
2005-04-20,100469.86560905361
2005-04-21,99844.90804946804
2005-04-22,100408.76518524074
2005-04-25,100483.73954856777
2005-04-26,100723.26201713466
2005-04-27,100416.10003936672
2005-04-28,100427.4468125143
2005-04-29,100671.47873008632
2005-05-02,99971.46095931911
2005-05-03,99803.87480741691
2005-05-04,99851.89011198234
2005-05-05,99991.61622339439
2005-05-06,99256.85873132896
2005-05-09,99121.56150919151
2005-05-10,99124.03618055534
2005-05-11,99293.97128206443
2005-05-12,98511.19848543358
2005-05-13,98498.40767103386
2005-05-16,98354.22944265556
2005-05-17,98392.38152795982
2005-05-18,98805.59421259117
2005-05-19,98654.47832971763
2005-05-20,98265.09355837059
2005-05-23,98424.67842298698
2005-05-24,98611.4751225109
2005-05-25,98789.32125574302
2005-05-26,98592.66133695793
2005-05-27,98907.23099333
2005-05-31,98802.28188139152
2005-06-01,98801.34056764793
2005-06-02,99651.76768649103
2005-06-03,99521.78218615534
2005-06-06,100009.77692473413
2005-06-07,99981.71321452143
2005-06-08,99786.90629828455
2005-06-09,99647.7911583233
2005-06-10,99874.03241122248
2005-06-13,99924.11410677912
2005-06-14,99625.10397494318
2005-06-15,99720.59196055414
2005-06-16,100531.33289969446
2005-06-17,100839.26044238092
2005-06-20,100793.92639124872
2005-06-21,101050.19638884546
2005-06-22,101373.54289782526
2005-06-23,101756.17522490503
2005-06-24,101679.68236220362
2005-06-27,101761.65536368372
2005-06-28,101080.15513861658
2005-06-29,101341.09384310724
2005-06-30,101270.36558688166
2005-07-01,100013.14755118372
2005-07-05,99339.64329019548
2005-07-06,99388.53104463579
2005-07-07,99664.49157873155
2005-07-08,99487.74138799669
2005-07-11,99469.30925050737
2005-07-12,99518.52398649218
2005-07-13,99298.46077123644
2005-07-14,98841.39840379717
2005-07-15,99011.51987997057
2005-07-18,98926.27143255236
2005-07-19,98897.62270418169
2005-07-20,99246.68081155779
2005-07-21,99291.45120683672
2005-07-22,99504.97297445299
2005-07-25,99568.90251031877
2005-07-26,99281.58413377764
2005-07-27,99447.64418569567
2005-07-28,99963.17116228105
2005-07-29,99989.6021181679
2005-08-01,100006.80030599596
2005-08-02,99882.63369536401
2005-08-03,100564.05218291284
2005-08-04,100633.29266715051
2005-08-05,100490.85366034509
2005-08-08,99979.35806250574
2005-08-09,100036.55096602441
2005-08-10,100353.65467238428
2005-08-11,101520.81097006799
2005-08-12,101780.27765822412
2005-08-15,101293.47311949731
2005-08-16,101861.33476042749
2005-08-17,101051.13417601587
2005-08-18,101120.15260291101
2005-08-19,100844.75350356103
2005-08-22,100880.1568658352
2005-08-23,100989.5357167721
2005-08-24,100798.59134650232
2005-08-25,101019.19274306299
2005-08-26,100984.0757405758
2005-08-29,100942.37453627588
2005-08-30,100376.41748976709
2005-08-31,101151.27351164819
2005-09-01,101742.59329199792
2005-09-02,101791.04922633553
2005-09-06,101722.56319766426
2005-09-07,101589.34868007088
2005-09-08,101985.48946910286
2005-09-09,102263.0475116291
2005-09-12,102148.92321925545
2005-09-13,101851.56640391731
