Date,Value
2010-09-09,100000.0
2010-09-10,100000.0
2010-09-13,100000.0
2010-09-14,100000.0
2010-09-15,100000.0
2010-09-16,100000.0
2010-09-17,100000.0
2010-09-20,100000.0
2010-09-21,100000.0
2010-09-22,100000.0
2010-09-23,100000.0
2010-09-24,100000.0
2010-09-27,100000.0
2010-09-28,100000.0
2010-09-29,100000.0
2010-09-30,100000.0
2010-10-01,100000.0
2010-10-04,100000.0
2010-10-05,100000.0
2010-10-06,100000.0
2010-10-07,100000.0
2010-10-08,100000.0
2010-10-11,100000.0
2010-10-12,100000.0
2010-10-13,100000.0
2010-10-14,100000.0
2010-10-15,100000.0
2010-10-18,100000.0
2010-10-19,100000.0
2010-10-20,100000.0
2010-10-21,100000.0
2010-10-22,100000.0
2010-10-25,100000.0
2010-10-26,100000.0
2010-10-27,100000.0
2010-10-28,100000.0
2010-10-29,100000.0
2010-11-01,100000.0
2010-11-02,100000.0
2010-11-03,100000.0
2010-11-04,100000.0
2010-11-05,100000.0
2010-11-08,100000.0
2010-11-09,100000.0
2010-11-10,100000.0
2010-11-11,100000.0
2010-11-12,100000.0
2010-11-15,100000.0
2010-11-16,100000.0
2010-11-17,100000.0
2010-11-18,100000.0
2010-11-19,100000.0
2010-11-22,100000.0
2010-11-23,100000.0
2010-11-24,100000.0
2010-11-26,100000.0
2010-11-29,100000.0
2010-11-30,100000.0
2010-12-01,100000.0
2010-12-02,100000.0
2010-12-03,100000.0
2010-12-06,100000.0
2010-12-07,100000.0
2010-12-08,100000.0
2010-12-09,100000.0
2010-12-10,100000.0
2010-12-13,100000.0
2010-12-14,100000.0
2010-12-15,100000.0
2010-12-16,100000.0
2010-12-17,100000.0
2010-12-20,100000.0
2010-12-21,100000.0
2010-12-22,100000.0
2010-12-23,100000.0
2010-12-27,100000.0
2010-12-28,100000.0
2010-12-29,100000.0
2010-12-30,100000.0
2010-12-31,100000.0
2011-01-03,100000.0
2011-01-04,99224.13462726059
2011-01-05,99347.71266833725
2011-01-06,99083.91329852524
2011-01-07,98909.75598041
2011-01-10,99044.85064593735
2011-01-11,99421.47423449936
2011-01-12,100081.23612109604
2011-01-13,99549.79414264145
2011-01-14,99447.35543719711
2011-01-18,99746.75222674789
2011-01-19,99347.33454028549
2011-01-20,98361.67398730697
2011-01-21,98473.21490374985
2011-01-24,98497.29569903793
2011-01-25,98408.93367663803
2011-01-26,99066.51375476303
2011-01-27,97995.95301715317
2011-01-28,97878.25462237778
2011-01-31,98157.55295459213
2011-02-01,99231.71438495102
2011-02-02,99074.7107915062
2011-02-03,99773.0115574974
2011-02-04,99767.89156238022
2011-02-07,100129.53329364242
2011-02-08,100868.17346850815
2011-02-09,100739.4754323143
2011-02-10,100685.4309224266
2011-02-11,100797.87374011459
2011-02-14,101140.17314807358
2011-02-15,101271.81264392319
2011-02-16,101677.63374988022
2011-02-17,102230.97132007065
2011-02-18,102423.5757283348
2011-02-22,101698.49185840072
2011-02-23,101833.97132007065
2011-02-24,101426.49545184555
2011-02-25,102304.59403125229
2011-02-28,102684.67278949203
2011-03-01,102646.75118915024
2011-03-02,102757.0154713768
2011-03-03,102999.95333758774
2011-03-04,103041.05227557602
2011-03-07,102728.71318713608
2011-03-08,103066.79450122299
2011-03-09,103042.33557788315
2011-03-10,101520.3555974144
2011-03-11,102005.95349780502
2011-03-14,101954.85372058334
2011-03-15,100462.97303668442
2011-03-16,99466.41313830795
2011-03-17,100333.37322131576
2011-03-18,101046.2710484642
2011-03-21,102130.2943410057
2011-03-22,101914.51103869858
2011-03-23,102504.73612109604
2011-03-24,102558.01103869858
2011-03-25,102516.3917225975
2011-03-28,102120.05435077133
2011-03-29,102419.07301227035
2011-03-30,102877.65532580795
2011-03-31,103271.8141621727
2011-04-01,103262.85407916488
2011-04-04,103466.59371081772
2011-04-05,104285.39208117904
2011-04-06,104582.23560229721
2011-04-07,104487.85507861557
2011-04-08,104717.71506396713
2011-04-11,104217.1353062767
2011-04-12,103483.61185351791
2011-04-13,103607.57129565658
2011-04-14,104256.95421496811
2011-04-15,104864.33302203598
2011-04-18,104618.45369616928
2011-04-19,104971.51359454574
2011-04-20,105808.89463702621
2011-04-21,106147.35407916488
2011-04-25,106167.07453051987
2011-04-26,106443.81280414047
2011-04-27,107783.81316272201
2011-04-28,108169.01531115951
2011-04-29,109249.05638781967
2011-05-02,108381.33350268783
2011-05-03,108031.73544207992
2011-05-04,106959.3744191307
2011-05-05,104965.25254718246
2011-05-06,105890.47183886947
2011-05-09,106852.5719746727
2011-05-10,107432.55367175522
2011-05-11,106403.47339526596
2011-05-12,106686.61169330063
2011-05-13,105867.2929448265
2011-05-16,105470.05367175522
2011-05-17,105212.27292529526
2011-05-18,106021.73320666733
2011-05-19,106125.97559253158
2011-05-20,106450.59422961654
2011-05-23,105931.05367175522
2011-05-24,106172.95078174057
2011-05-25,106344.55143634262
2011-05-26,106408.07301227035
2011-05-27,107173.73544207992
2011-05-31,107625.91106311264
2011-06-01,106557.25442401352
2011-06-02,106390.39224139633
2011-06-03,106106.35543719711
2011-06-06,105672.61357013168
2011-06-07,105568.37118426742
2011-06-08,105148.85491839828
2011-06-09,105784.15448657455
2011-06-10,104644.8133229393
2011-06-13,104109.53465167465
2011-06-14,105109.03261462631
2011-06-15,104403.2943410057
2011-06-16,104390.87254229965
2011-06-17,104919.75118915024
2011-06-20,105238.4935750145
2011-06-21,106138.49441424789
2011-06-22,105980.59558764877
2011-06-23,104847.79330340805
2011-06-24,103302.252905764
2011-06-27,103544.6736668724
2011-06-28,104366.17434588852
2011-06-29,105176.91465655746
2011-06-30,105238.77480212631
2011-07-01,105592.35507861557
2011-07-05,106503.35543719711
2011-07-06,107043.37597552719
2011-07-07,107725.03345385971
2011-07-08,107756.27380267563
2011-07-11,107205.35064593735
2011-07-12,107436.49393359604
2011-07-13,108079.47355548324
2011-07-14,107922.854758181
2011-07-15,108419.59455005112
2011-07-18,108444.81300250473
2011-07-19,108600.6722706932
2011-07-20,109063.47267810287
2011-07-21,109402.45249835434
2011-07-22,109872.55143634262
2011-07-25,109999.45573321762
2011-07-26,109954.37118426742
2011-07-27,108666.99305621567
2011-07-28,108592.33625689926
2011-07-29,108553.65173236313
2011-08-01,108159.8744191307
2011-08-02,108251.41377917709
2011-08-03,108500.23456469955
2011-08-04,105898.83418170395
2011-08-05,106187.47048083725
2011-08-08,105018.51171771469
2011-08-09,107561.51051989975
2011-08-10,107698.3735798973
2011-08-11,108276.0765675682
2011-08-12,108360.21710101547
2011-08-15,109988.9927357811
2011-08-16,110333.3352193016
2011-08-17,110562.81368152084
2011-08-18,109789.95301715317
2011-08-19,109715.15736285629
2011-08-22,111387.07488910141
2011-08-23,110457.91194049301
2011-08-24,108948.25018969955
2011-08-25,108502.47471515121
2011-08-26,110954.2702092308
2011-08-29,111019.73456469955
2011-08-30,112956.73136798324
2011-08-31,112698.57249347153
2011-09-01,112270.8525227684
2011-09-02,112966.31552020492
2011-09-06,112542.05399218979
2011-09-07,111737.23200885238
2011-09-08,112948.39208117904
2011-09-09,111329.8564366478
2011-09-12,110196.29110614242
2011-09-13,111250.21182910385
2011-09-14,111439.49664966049
2011-09-15,111213.61221209946
2011-09-16,112030.7491521019
2011-09-19,110623.39719287338
2011-09-20,111471.7778767723
2011-09-21,109255.71182910385
2011-09-22,106283.47048083725
2011-09-23,102858.57520953598
2011-09-26,103120.85200396957
2011-09-27,104783.434836306
2011-09-28,102227.77156726303
2011-09-29,103123.41533557358
2011-09-30,102113.53173724594
2011-10-03,101817.30889026108
2011-10-04,101621.91533557358
2011-10-05,103137.87341968002
2011-10-06,104360.45333758774
2011-10-07,103581.47387591781
2011-10-10,106541.29669848862
2011-10-11,106096.93331805649
2011-10-12,106917.53549090805
2011-10-13,106564.09746447983
2011-10-14,107736.47271624985
2011-10-17,106515.16955462875
2011-10-18,107245.37341968002
2011-10-19,105861.57520953598
2011-10-20,105364.07249347153
2011-10-21,106887.33250323715
2011-10-24,108039.0921925682
2011-10-25,108759.91601458969
2011-10-26,109828.4370717186
2011-10-27,112257.71302691879
2011-10-28,112380.39583484115
2011-10-31,110230.41481677475
2011-11-01,108926.25442401352
2011-11-02,110322.09642688217
2011-11-03,112148.58979693832
2011-11-04,111616.25258532944
2011-11-07,113323.39631549301
2011-11-08,113452.61133471908
2011-11-09,111108.23544207992
2011-11-10,111225.41345874252
2011-11-11,113138.99561206283
2011-11-14,112373.71470538559
2011-11-15,112737.90970508041
2011-11-16,111227.97679034653
2011-11-17,108880.79502002182
2011-11-18,109061.35236255112
2011-11-21,106743.752905764
2011-11-22,107100.13239184799
2011-11-23,105971.03788653793
2011-11-25,105299.75258532944
2011-11-28,107803.17162982406
2011-11-29,108011.65312854233
2011-11-30,111116.95285693588
2011-12-01,110940.23560229721
2011-12-02,110950.09746447983
2011-12-05,110592.05654803696
2011-12-06,110955.3564366478
2011-12-07,111509.97064105453
2011-12-08,109262.67091266098
2011-12-09,110193.15584460678
2011-12-12,107950.21318713608
2011-12-13,106240.89104358139
2011-12-14,103635.55367175522
2011-12-15,103673.33302203598
2011-12-16,104740.05367175522
2011-12-19,104144.1948842186
2011-12-20,106307.49305621567
2011-12-21,106453.354758181
2011-12-22,106525.07349292221
2011-12-23,106726.25306598129
2011-12-27,106279.33302203598
2011-12-28,104317.35340014877
2011-12-29,104478.7107915062
2011-12-30,104859.55247394028
2012-01-03,107048.45401660385
2012-01-04,107410.05240809784
2012-01-05,107890.27173030243
2012-01-06,107610.77200686798
2012-01-09,107481.29068171844
2012-01-10,108686.45161044464
2012-01-11,109052.26999270782
2012-01-12,109410.12987124786
2012-01-13,108807.5510653244
2012-01-17,109365.71053302154
2012-01-18,110329.09252154693
2012-01-19,110471.56906878814
2012-01-20,110749.8088034378
2012-01-23,111254.75372683868
2012-01-24,110723.40987765655
2012-01-25,112789.69225299224
2012-01-26,112760.35334002838
2012-01-27,113315.99279010162
2012-01-30,112826.97158801422
2012-01-31,113217.92894732818
2012-02-01,113823.87106692657
2012-02-02,114416.38800418243
2012-02-03,114025.44880664215
2012-02-06,113772.35132586822
2012-02-07,114809.05011737213
2012-02-08,114506.08813845977
2012-02-09,114393.7905234085
2012-02-10,113745.95240008697
2012-02-13,114298.66666781768
2012-02-14,114045.57254397735
2012-02-15,114190.55426394806
2012-02-16,114710.59106051788
2012-02-17,114668.68842303619
2012-02-21,115955.9679945694
2012-02-22,116397.20986163482
2012-02-23,116695.98998629913
2012-02-24,116531.73118197784
2012-02-27,116454.62773883209
2012-02-28,117274.2698744522
2012-02-29,113740.5286787735
2012-03-01,114936.04774844513
