Date,Value
2005-01-28,100000.0
2005-01-31,100000.0
2005-02-01,100000.0
2005-02-02,99819.7413384924
2005-02-03,98917.02399706937
2005-02-04,99619.2512376318
2005-02-07,99415.01991343594
2005-02-08,99537.22890257931
2005-02-09,98808.86387515164
2005-02-10,99122.01102233029
2005-02-11,100009.71330714322
2005-02-14,100619.17265200711
2005-02-15,100899.09181475735
2005-02-16,100598.29598975278
2005-02-17,100006.28709483243
2005-02-18,99884.53262686825
2005-02-22,99792.43160605527
2005-02-23,99802.26731276608
2005-02-24,100350.44791007138
2005-02-25,100740.56459879971
2005-02-28,100150.29855799771
2005-03-01,100382.12094378567
2005-03-02,100312.07478859235
2005-03-03,99836.51597835828
2005-03-04,100216.2629399519
2005-03-07,100952.87443020154
2005-03-08,100572.37936069776
2005-03-09,100431.48204567243
2005-03-10,100398.5027661543
2005-03-11,99989.9555793028
2005-03-14,100118.03699066449
2005-03-15,99719.69368507672
2005-03-16,99221.69257786084
2005-03-17,99228.6634345274
2005-03-18,98978.28617527295
2005-03-21,98878.6708016615
2005-03-22,98183.19986393262
2005-03-23,98305.39271404553
2005-03-24,98318.82558300305
2005-03-28,98437.89244320203
2005-03-29,98055.25580456067
2005-03-30,98975.32971908856
2005-03-31,98815.12230636884
2005-04-01,98261.26352360059
2005-04-04,98422.55049573803
2005-04-05,98654.78814947033
2005-04-06,98700.44527494335
2005-04-07,99127.05620824719
2005-04-08,98851.24500333691
2005-04-11,98773.19296705151
2005-04-12,99090.4738050642
2005-04-13,98420.14153921032
2005-04-14,97303.62310277844
2005-04-15,96376.06440030957
2005-04-18,96569.80248510266
2005-04-19,97378.66876089001
2005-04-20,97119.25321638012
2005-04-21,98022.4620157423
2005-04-22,97606.92231618786
2005-04-25,98013.19566785717
2005-04-26,97732.94434797192
2005-04-27,97568.4324556532
2005-04-28,97068.68821775341
2005-04-29,97555.53331434155
2005-05-02,97359.718584651
2005-05-03,97345.28415718746
2005-05-04,97758.40596810055
2005-05-05,97854.23389664364
2005-05-06,97536.685404212
2005-05-09,97633.04892197323
2005-05-10,97422.05836525631
2005-05-11,97667.54748383236
2005-05-12,97126.8536514349
2005-05-13,97373.82571449947
2005-05-16,97499.2894100256
2005-05-17,97698.61747208309
2005-05-18,98330.8747047491
2005-05-19,98508.65759506893
2005-05-20,98388.84380188656
2005-05-23,98596.45047798824
2005-05-24,98787.68815651607
2005-05-25,98769.44787064266
2005-05-26,98950.87568703365
2005-05-27,99168.04881325435
2005-05-31,98941.32854500484
2005-06-01,99160.51276245785
2005-06-02,99830.62623034383
2005-06-03,99127.95768938924
2005-06-06,99211.59096251393
2005-06-07,98769.37699137593
2005-06-08,98646.46285162831
2005-06-09,98949.28859530354
2005-06-10,98518.33886156941
2005-06-13,98785.47511492635
2005-06-14,98540.89430819417
2005-06-15,98734.67643366719
2005-06-16,99147.88756094838
2005-06-17,99172.41206942464
2005-06-20,99174.76702128316
2005-06-21,99167.57818327809
2005-06-22,99110.83317385579
2005-06-23,98635.03108702565
2005-06-24,98048.59500227834
2005-06-27,97829.77737341786
2005-06-28,98179.2001715746
2005-06-29,98122.19774447347
2005-06-30,97695.47276888753
2005-07-01,97460.93569861318
2005-07-05,98205.60192349434
2005-07-06,97805.76077511787
2005-07-07,98136.2230668354
2005-07-08,99594.72128155708
2005-07-11,100426.69735196113
2005-07-12,100866.49983838081
2005-07-13,100926.55890515327
2005-07-14,101528.44048550606
2005-07-15,101837.91829541206
2005-07-18,101484.4799027729
2005-07-19,102401.94131711006
2005-07-20,103104.81885769844
2005-07-21,103241.2434411335
2005-07-22,103131.89736035347
2005-07-25,102843.8423486042
2005-07-26,103043.09744503975
2005-07-27,103761.30376294136
2005-07-28,104288.68001797676
2005-07-29,103649.62455227852
2005-08-01,103925.24304821968
2005-08-02,104816.48535526657
2005-08-03,104891.24586475754
2005-08-04,104072.19711769486
2005-08-05,103654.17977798844
2005-08-08,102974.4987362709
2005-08-09,103525.32650555039
2005-08-10,102856.2985819664
2005-08-11,103751.16149986649
2005-08-12,103285.81568706894
2005-08-15,103712.37067020798
2005-08-16,102435.8162306633
2005-08-17,102785.84321583176
2005-08-18,102344.05348480606
2005-08-19,102253.35255230332
2005-08-22,102308.0838049736
2005-08-23,102087.4006012764
2005-08-24,101559.9207562294
2005-08-25,101778.62945736313
2005-08-26,101476.83776939774
2005-08-29,102108.34369076157
2005-08-30,101674.87758053208
2005-08-31,102532.92417133713
2005-09-01,102598.93887985611
2005-09-02,102229.13109710884
2005-09-06,103572.79387310219
2005-09-07,103746.29559448433
2005-09-08,103800.00351265144
2005-09-09,104367.3330462284
2005-09-12,104627.62230804634
2005-09-13,104315.9719040699
