year,final_asset_ratio,profit_ratio,CAGR,MDD,Sharpe,Sortino,Std_Dev
2009,1.0000,0.0000,0.00,0.00,-92550597887306784.00,-92550597887306784.00,0.00
2010,1.0564,0.0564,5.64,-4.85,0.75,1.04,0.06
2011,1.0898,0.0898,8.98,-4.34,0.87,1.27,0.09
2012,1.0921,0.0921,9.28,-4.52,1.23,1.85,0.07
2013,0.9189,-0.0811,-8.11,-12.77,-1.01,-1.31,0.09
2014,1.0690,0.0690,6.90,-5.18,0.95,1.39,0.06
2015,0.9001,-0.0999,-9.99,-13.87,-1.29,-1.87,0.09
2016,1.0604,0.0604,6.04,-9.73,0.60,0.82,0.09
2017,1.1349,0.1349,13.55,-3.06,2.02,3.35,0.06
2018,0.8998,-0.1002,-10.06,-13.68,-1.55,-2.21,0.07
2019,1.1692,0.1692,16.92,-2.41,2.36,4.22,0.06
2020,1.1442,0.1442,14.36,-19.89,0.90,0.90,0.15
2021,1.0390,0.0390,3.90,-5.86,0.38,0.54,0.08
2022,0.7661,-0.2339,-23.47,-27.87,-1.85,-3.19,0.14
2023,1.0549,0.0549,5.54,-13.51,0.44,0.72,0.11
2024,0.9919,-0.0081,-0.81,-7.95,-0.15,-0.21,0.09
2025,1.0411,0.0411,26.60,-1.48,2.70,4.51,0.09
