Date,Value
2010-07-23,100000.0
2010-07-26,100000.0
2010-07-27,100000.0
2010-07-28,100000.0
2010-07-29,100000.0
2010-07-30,100000.0
2010-08-02,100000.0
2010-08-03,100005.4586801529
2010-08-04,100011.42827129364
2010-08-05,100027.15819644928
2010-08-06,100451.93735218048
2010-08-09,100573.07806682587
2010-08-10,100385.28823566437
2010-08-11,99292.46845912933
2010-08-12,98944.42888355255
2010-08-13,99468.91799640656
2010-08-16,100772.5285730362
2010-08-17,101060.64636516571
2010-08-18,101219.22772693634
2010-08-19,101370.9992761612
2010-08-20,101047.89850521088
2010-08-23,100667.4287557602
2010-08-24,101065.42853450775
2010-08-25,100944.470246315
2010-08-26,101442.13928318024
2010-08-27,101000.57922267914
2010-08-30,101291.4385023117
2010-08-31,101627.07860279083
2010-09-01,101935.20733737946
2010-09-02,101920.93684849548
2010-09-03,102025.69919094848
2010-09-07,102382.3679760437
2010-09-08,102396.74837002563
2010-09-09,101782.56735691833
2010-09-10,101966.57782826232
2010-09-13,102843.47863087463
2010-09-14,103511.59813389587
2010-09-15,102920.35845265197
2010-09-16,102285.838467453
2010-09-17,102307.20807156371
2010-09-20,103378.87789616393
2010-09-21,103958.01825222778
2010-09-22,104518.81847271728
2010-09-23,104269.48747143554
2010-09-24,104542.04726109313
2010-09-27,104947.84780392455
2010-09-28,105693.2481220703
2010-09-29,105628.85943875121
2010-09-30,105271.83864483642
2010-10-01,105712.84688648986
2010-10-04,105468.3218048954
2010-10-05,106527.51266755104
2010-10-06,107535.610733881
2010-10-07,106866.07995690346
2010-10-08,107406.36014069557
2010-10-11,107263.26011170387
2010-10-12,106895.29102601051
2010-10-13,107634.10952843666
2010-10-14,107455.1309555912
2010-10-15,106562.01132668495
2010-10-18,107021.21978081703
2010-10-19,105911.48977173805
2010-10-20,106898.96237648964
2010-10-21,106315.85064400673
2010-10-22,106468.88057221413
2010-10-25,107238.91120232582
2010-10-26,106553.82071389198
2010-10-27,105528.3592595005
2010-10-28,106018.31071557045
2010-10-29,106484.72053040504
2010-11-01,106523.280157938
2010-11-02,107623.18426780512
2010-11-03,106934.10600356867
2010-11-04,108385.91617660334
2010-11-05,107780.48683814814
2010-11-08,107746.0367553692
2010-11-09,106106.80613212397
2010-11-10,106447.2266319256
2010-11-11,106313.29698066523
2010-11-12,104799.76650886347
2010-11-15,103541.12645988275
2010-11-16,103167.47665099909
2010-11-17,103183.42458991816
2010-11-18,104365.70656852533
2010-11-19,104786.77573661615
2010-11-22,104984.72668342401
2010-11-23,104130.96636657526
2010-11-24,104140.88518981745
2010-11-26,104010.30584220697
2010-11-29,104372.04543189814
2010-11-30,104114.24525527765
2010-12-01,104604.14545898249
2010-12-02,105165.37177399636
2010-12-03,105267.56137589455
2010-12-06,105725.28144196511
2010-12-07,104659.4616425419
2010-12-08,104111.57043770791
2010-12-09,104212.9912770176
2010-12-10,104292.0011914158
2010-12-13,104764.84252099038
2010-12-14,103877.2924149418
2010-12-15,103127.89214829446
2010-12-16,103389.22319916726
2010-12-17,104519.82094697
2010-12-20,104488.83183220864
2010-12-21,105058.58086899758
2010-12-22,104244.94212082864
2010-12-23,104134.40019539834
2010-12-27,104203.37053421975
2010-12-28,103724.84247712136
2010-12-29,104638.12068299294
2010-12-30,104516.8010514164
2010-12-31,105641.68196228982
2011-01-03,105604.98053292275
2011-01-04,105295.9808254719
2011-01-05,104513.60273365976
2011-01-06,104136.46049504282
2011-01-07,104141.20973401071
2011-01-10,104119.81962018015
2011-01-11,104532.41084866525
2011-01-12,105073.68064503671
2011-01-13,105145.22274594309
2011-01-14,104984.8207321644
2011-01-18,104914.55091671945
2011-01-19,104776.08930592539
2011-01-20,103639.79958348276
2011-01-21,103878.45079045297
2011-01-24,104095.99209027292
2011-01-25,104366.57162671091
2011-01-26,104204.93162541391
2011-01-27,104161.1918259144
2011-01-28,103640.55111317636
2011-01-31,103686.40187458994
2011-02-01,104294.97025303842
2011-02-02,104212.86533369256
2011-02-03,103976.12485326959
2011-02-04,103356.20563902093
2011-02-07,103585.78517736627
2011-02-08,103549.79534734918
2011-02-09,103516.61668218805
2011-02-10,102742.86714948846
2011-02-11,103357.80669225885
2011-02-14,103745.63643659784
2011-02-15,103745.98599828912
2011-02-16,104139.62742819024
2011-02-17,104491.47789015008
2011-02-18,104618.34806074334
2011-02-22,104287.31683553888
2011-02-23,104600.85688604547
2011-02-24,104869.18585790826
2011-02-25,105851.72666753961
2011-02-28,106355.87464536859
2011-03-01,106281.96635069085
2011-03-02,105938.00763342477
2011-03-03,106032.55673048593
2011-03-04,106326.7370168934
2011-03-07,105650.64614508249
2011-03-08,105658.12532827951
2011-03-09,105946.63717291452
2011-03-10,105750.17820570566
2011-03-11,105634.817087389
2011-03-14,105481.30637381173
2011-03-15,104882.07767698861
2011-03-16,104734.69720480539
2011-03-17,105290.79702589608
2011-03-18,105826.2062532673
