year,final_asset_ratio,profit_ratio,CAGR,MDD,Sharpe,Sortino,Std_Dev
2009,1.0000,0.0000,0.00,0.00,-92550597887306784.00,-92550597887306784.00,0.00
2010,1.0000,0.0000,0.00,0.00,-92778218580649600.00,-92778218580649600.00,0.00
2011,1.0835,0.0835,8.35,-3.88,0.83,1.20,0.09
2012,1.0746,0.0746,7.52,-4.53,1.04,1.55,0.06
2013,0.9306,-0.0694,-6.94,-12.56,-0.88,-1.16,0.09
2014,1.0680,0.0680,6.80,-4.95,0.96,1.40,0.06
2015,0.8953,-0.1047,-10.47,-14.41,-1.33,-1.92,0.09
2016,1.0535,0.0535,5.35,-9.97,0.53,0.72,0.09
2017,1.1366,0.1366,13.72,-3.06,2.04,3.38,0.06
2018,0.8964,-0.1036,-10.40,-14.12,-1.58,-2.24,0.07
2019,1.1639,0.1639,16.39,-2.68,2.24,3.88,0.06
2020,1.1357,0.1357,13.51,-19.68,0.86,0.88,0.15
2021,1.0365,0.0365,3.65,-5.76,0.36,0.50,0.08
2022,0.7775,-0.2225,-22.33,-26.54,-1.81,-3.09,0.14
2023,1.0492,0.0492,4.96,-12.80,0.41,0.66,0.11
2024,0.9964,-0.0036,-0.36,-7.55,-0.10,-0.14,0.09
2025,1.0402,0.0402,26.00,-1.45,2.70,4.48,0.08
