date,spy_close,MA_21,MA_50,MA_150,MA_200,asset,action,shares,target_allocation
2004-12-01,119.2300033569336,117.58000074114118,114.36240005493164,112.41233311971028,112.7026498413086,GLD,BUY,1097,"{'QQQ': 0.5, 'GLD': 0.5}"
2004-12-01,119.2300033569336,117.58000074114118,114.36240005493164,112.41233311971028,112.7026498413086,QQQ,BUY,1265,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-01-03,120.30000305175781,120.13571421305339,117.91120025634766,113.77253321329752,113.34294979095459,QQQ,BUY,1204,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-01-03,120.30000305175781,120.13571421305339,117.91120025634766,113.77253321329752,113.34294979095459,GLD,BUY,1,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-02-01,118.91000366210938,118.11238207135882,118.9504005432129,114.34206685384115,113.86219993591308,GLD,SELL,-2,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-02-01,118.91000366210938,118.11238207135882,118.9504005432129,114.34206685384115,113.86219993591308,QQQ,BUY,33,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-03-01,121.2300033569336,120.0404757545108,119.39900009155274,115.47980010986328,114.63649990081787,GLD,SELL,-17,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-03-01,121.2300033569336,120.0404757545108,119.39900009155274,115.47980010986328,114.63649990081787,QQQ,BUY,24,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-04-01,117.43000030517578,119.35809544154576,119.3667999267578,116.95686681111654,115.43779998779297,QQQ,SELL,-10,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-04-01,117.43000030517578,119.35809544154576,119.3667999267578,116.95686681111654,115.43779998779297,GLD,SELL,-11,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-05-02,116.4000015258789,116.40428561256046,118.28299987792968,117.54406672159831,115.81485004425049,GLD,SELL,-25,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-05-02,116.4000015258789,116.40428561256046,118.28299987792968,117.54406672159831,115.81485004425049,QQQ,BUY,41,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-06-01,120.5,118.21571459089007,117.30940002441406,118.41813349405925,116.76215011596679,QQQ,SELL,-68,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-06-01,120.5,118.21571459089007,117.30940002441406,118.41813349405925,116.76215011596679,GLD,BUY,30,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-07-01,119.52999877929688,120.34857214064826,118.79420043945312,118.95826685587565,117.72755016326904,GLD,SELL,-9,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-07-01,119.52999877929688,120.34857214064826,118.79420043945312,118.95826685587565,117.72755016326904,QQQ,BUY,32,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-08-01,123.6500015258789,122.4047619047619,121.14280059814453,119.34960021972657,118.74300018310547,QQQ,SELL,-37,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-08-01,123.6500015258789,122.4047619047619,121.14280059814453,119.34960021972657,118.74300018310547,GLD,BUY,42,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-09-01,122.48999786376953,122.46476200648716,122.1704002380371,119.96986679077149,119.71625019073487,QQQ,BUY,23,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-09-01,122.48999786376953,122.46476200648716,122.1704002380371,119.96986679077149,119.71625019073487,GLD,BUY,9,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-10-03,122.5999984741211,122.75142887660435,122.81860015869141,120.34940022786458,120.11180019378662,GLD,SELL,-44,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-10-03,122.5999984741211,122.75142887660435,122.81860015869141,120.34940022786458,120.11180019378662,QQQ,BUY,4,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-11-01,120.48999786376953,119.06523749941871,121.03399993896484,120.283466796875,120.05825008392334,GLD,SELL,-11,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-11-01,120.48999786376953,119.06523749941871,121.03399993896484,120.283466796875,120.05825008392334,QQQ,BUY,20,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-12-01,126.69000244140625,124.32904779343377,121.74319992065429,121.38606684366862,120.62945011138916,GLD,BUY,30,"{'QQQ': 0.5, 'GLD': 0.5}"
2005-12-01,126.69000244140625,124.32904779343377,121.74319992065429,121.38606684366862,120.62945011138916,QQQ,BUY,32,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-01-03,126.69999694824219,126.31761932373047,124.38560012817383,122.54766682942709,121.22610012054443,GLD,SELL,-30,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-01-03,126.69999694824219,126.31761932373047,124.38560012817383,122.54766682942709,121.22610012054443,QQQ,BUY,7,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-02-01,128.38999938964844,127.83666628882999,126.92620010375977,123.53320002237956,122.2818501663208,GLD,SELL,-53,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-02-01,128.38999938964844,127.83666628882999,126.92620010375977,123.53320002237956,122.2818501663208,QQQ,BUY,37,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-03-01,129.3699951171875,127.83095332554409,127.42860046386718,124.29853347778321,123.39315029144286,QQQ,BUY,64,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-04-03,129.72999572753906,129.57619040352958,128.55280029296875,125.30126678466797,124.50850013732911,GLD,SELL,-11,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-04-03,129.72999572753906,129.57619040352958,128.55280029296875,125.30126678466797,124.50850013732911,QQQ,BUY,6,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-05-01,130.39999389648438,130.22285606747582,129.72919967651367,126.2521332804362,125.417799949646,GLD,SELL,-62,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-05-01,130.39999389648438,130.22285606747582,129.72919967651367,126.2521332804362,125.417799949646,QQQ,BUY,18,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-06-01,128.72999572753906,128.9228570120675,129.66419998168945,127.60666666666667,126.0317499923706,GLD,SELL,-24,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-06-01,128.72999572753906,128.9228570120675,129.66419998168945,127.60666666666667,126.0317499923706,QQQ,BUY,105,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-07-03,127.80000305175781,125.20809536888486,127.63419982910156,127.96660003662109,126.33639999389648,QQQ,SELL,-15,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-07-03,127.80000305175781,125.20809536888486,127.63419982910156,127.96660003662109,126.33639999389648,GLD,BUY,23,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-08-01,127.22000122070312,126.09476252964565,125.88960021972656,127.90473337809244,126.8521000289917,GLD,SELL,-33,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-08-01,127.22000122070312,126.09476252964565,125.88960021972656,127.90473337809244,126.8521000289917,QQQ,BUY,14,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-09-01,131.4199981689453,129.2490474155971,127.42720016479493,128.1789333597819,127.82695003509521,QQQ,SELL,-15,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-09-01,131.4199981689453,129.2490474155971,127.42720016479493,128.1789333597819,127.82695003509521,GLD,BUY,28,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-10-02,133.0800018310547,132.01190476190476,130.0204000854492,128.75059987386066,128.4104500579834,QQQ,SELL,-80,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-10-02,133.0800018310547,132.01190476190476,130.0204000854492,128.75059987386066,128.4104500579834,GLD,BUY,16,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-11-01,136.86000061035156,136.6585707891555,133.7393994140625,129.77833318074545,129.44554996490479,QQQ,SELL,-9,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-11-01,136.86000061035156,136.6585707891555,133.7393994140625,129.77833318074545,129.44554996490479,GLD,BUY,44,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-12-01,140.22000122070312,139.30619085402716,137.20480010986327,131.05000005086262,130.7197999572754,GLD,SELL,-25,"{'QQQ': 0.5, 'GLD': 0.5}"
2006-12-01,140.22000122070312,139.30619085402716,137.20480010986327,131.05000005086262,130.7197999572754,QQQ,BUY,10,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-01-03,141.3699951171875,141.74380783807663,140.03039947509765,132.74253311157227,131.99174983978273,GLD,SELL,-1,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-01-03,141.3699951171875,141.74380783807663,140.03039947509765,132.74253311157227,131.99174983978273,QQQ,BUY,2,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-02-01,144.61000061035156,142.42095293317522,141.74719970703126,135.02226654052734,133.2593998336792,QQQ,BUY,14,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-02-01,144.61000061035156,142.42095293317522,141.74719970703126,135.02226654052734,133.2593998336792,GLD,BUY,6,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-03-01,140.50999450683594,144.3633328392392,143.06099975585937,137.37273310343426,134.51384983062744,GLD,SELL,-29,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-03-01,140.50999450683594,144.3633328392392,143.06099975585937,137.37273310343426,134.51384983062744,QQQ,BUY,17,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-04-02,142.16000366210938,140.9376191638765,142.56699981689454,139.203266398112,136.08154987335206,GLD,BUY,16,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-04-02,142.16000366210938,140.9376191638765,142.56699981689454,139.203266398112,136.08154987335206,QQQ,BUY,1,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-05-01,148.6699981689453,146.46190461658296,143.62399932861328,141.26539978027344,138.17989978790283,QQQ,SELL,-32,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-05-01,148.6699981689453,146.46190461658296,143.62399932861328,141.26539978027344,138.17989978790283,GLD,BUY,11,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-06-01,154.0800018310547,151.64095342726935,148.16240020751954,143.6531332397461,140.93369979858397,QQQ,SELL,-23,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-06-01,154.0800018310547,151.64095342726935,148.16240020751954,143.6531332397461,140.93369979858397,GLD,BUY,28,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-07-02,151.7899932861328,151.39476158505394,151.10179962158202,145.42226654052735,143.13544982910156,QQQ,SELL,-12,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-07-02,151.7899932861328,151.39476158505394,151.10179962158202,145.42226654052735,143.13544982910156,GLD,BUY,16,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-08-01,146.42999267578125,151.6623818533761,151.6986004638672,146.880866800944,145.03819999694824,GLD,SELL,-9,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-08-01,146.42999267578125,151.6623818533761,151.6986004638672,146.880866800944,145.03819999694824,QQQ,BUY,10,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-09-04,149.0800018310547,145.76666623070128,148.77059997558592,147.42820007324218,145.96815002441406,GLD,BUY,10,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-09-04,149.0800018310547,145.76666623070128,148.77059997558592,147.42820007324218,145.96815002441406,QQQ,BUY,2,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-10-01,154.3000030517578,150.0490482875279,147.92800048828124,148.1226668294271,146.87500007629396,GLD,SELL,-23,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-11-01,151.02999877929688,153.7095227922712,151.30019958496095,150.11020009358725,148.22770004272462,QQQ,SELL,-5,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-11-01,151.02999877929688,153.7095227922712,151.30019958496095,150.11020009358725,148.22770004272462,GLD,SELL,-22,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-12-03,147.67999267578125,146.31857081821985,150.47399932861327,150.0901333618164,148.47359985351562,GLD,SELL,-9,"{'QQQ': 0.5, 'GLD': 0.5}"
2007-12-03,147.67999267578125,146.31857081821985,150.47399932861327,150.0901333618164,148.47359985351562,QQQ,BUY,62,"{'QQQ': 0.5, 'GLD': 0.5}"
2008-01-02,144.92999267578125,147.94952465239027,148.0811996459961,149.6412001546224,149.1558000946045,GLD,SELL,-26,"{'QQQ': 0.5, 'GLD': 0.5}"
2008-01-02,144.92999267578125,147.94952465239027,148.0811996459961,149.6412001546224,149.1558000946045,QQQ,BUY,24,"{'QQQ': 0.5, 'GLD': 0.5}"
2008-02-01,139.5800018310547,137.4104752313523,142.99,147.64886657714842,148.4802498626709,GLD,SELL,-107,"{'QQQ': 0.5, 'GLD': 0.5}"
2008-02-01,139.5800018310547,137.4104752313523,142.99,147.64886657714842,148.4802498626709,QQQ,BUY,50,"{'QQQ': 0.5, 'GLD': 0.5}"
2008-03-03,133.5,135.56904820033483,138.37380004882812,145.38066660563152,147.04480003356935,GLD,SELL,-31,"{'QQQ': 0.5, 'GLD': 0.5}"
2008-03-03,133.5,135.56904820033483,138.37380004882812,145.38066660563152,147.04480003356935,QQQ,BUY,219,"{'QQQ': 0.5, 'GLD': 0.5}"
2008-04-01,136.61000061035156,132.10857282366072,133.91660095214843,143.57253336588542,145.03640014648437,QQQ,SELL,-24,"{'QQQ': 0.5, 'GLD': 0.5}"
2008-04-01,136.61000061035156,132.10857282366072,133.91660095214843,143.57253336588542,145.03640014648437,GLD,BUY,34,"{'QQQ': 0.5, 'GLD': 0.5}"
