Date,Value
2005-01-28,100000.0
2005-01-31,100000.0
2005-02-01,100000.0
2005-02-02,99754.15444946289
2005-02-03,98713.79379272461
2005-02-04,100193.59043884277
2005-02-07,100022.57586669922
2005-02-08,100198.52443695068
2005-02-09,98746.1616821289
2005-02-10,98779.3437576294
2005-02-11,100076.79187011719
2005-02-14,100494.37757873535
2005-02-15,101074.92789459229
2005-02-16,100705.79962921143
2005-02-17,99469.13334655762
2005-02-18,99133.836769104
2005-02-22,98039.26919555664
2005-02-23,98166.41734313965
2005-02-24,99269.86032104492
2005-02-25,99783.87757873535
2005-02-28,98767.8335571289
2005-03-01,99718.00280761719
2005-03-02,99669.95647621536
2005-03-03,98924.1337337532
2005-03-04,99493.73632622146
2005-03-07,100785.05901146316
2005-03-08,99831.19628334427
2005-03-09,99493.74489784622
2005-03-10,99391.94689751053
2005-03-11,98515.54071998977
2005-03-14,98944.7359905281
2005-03-15,98209.91738319778
2005-03-16,97229.60293388748
2005-03-17,97481.87326240921
2005-03-18,96979.90154838943
2005-03-21,97135.30010414505
2005-03-22,95989.77821159744
2005-03-23,96322.3110485115
2005-03-24,96354.37611198807
2005-03-28,96489.8757762947
2005-03-29,95837.42316246414
2005-03-30,97482.81417656326
2005-03-31,97148.86496925735
2005-04-01,96252.80744743728
2005-04-04,96781.94610400773
2005-04-05,97004.81320853806
2005-04-06,96952.4603042183
2005-04-07,97813.25880714036
2005-04-08,97218.22865291215
2005-04-11,96939.70315738297
2005-04-12,97364.54406924821
2005-04-13,96145.33047957993
2005-04-14,94987.3575238762
2005-04-15,93381.47162623979
2005-04-18,93439.7390851555
2005-04-19,94128.59327407456
2005-04-20,93556.35526462174
2005-04-21,95333.59723563767
2005-04-22,94334.19847579575
2005-04-25,94929.67196841813
2005-04-26,94299.64377780534
2005-04-27,94326.56674285508
2005-04-28,93618.15616222001
2005-04-29,94144.65882297135
2005-05-02,94313.86550803758
2005-05-03,93966.61674564077
2005-05-04,94106.1857611437
2005-05-05,94317.82654063894
2005-05-06,93544.70427196218
2005-05-09,93571.49989574148
2005-05-10,93745.74877994253
2005-05-11,93923.92879359915
2005-05-12,93376.38235347463
2005-05-13,93227.58199374868
2005-05-16,93168.54983203603
2005-05-17,93239.24738567068
2005-05-18,93617.55373637869
2005-05-19,93400.61690013601
2005-05-20,93040.48597591116
2005-05-23,93210.04163425161
2005-05-24,93410.62497775747
2005-05-25,93413.64721934988
2005-05-26,93225.9349295397
2005-05-27,93575.92977969839
2005-05-31,93520.2354285021
2005-06-01,93527.66363399221
2005-06-02,94364.46990152074
2005-06-03,93573.40681024267
2005-06-06,93792.12897439672
2005-06-07,93434.2386507578
2005-06-08,93250.47814889623
2005-06-09,93508.36838479711
2005-06-10,93015.63603158666
2005-06-13,93223.12749429418
2005-06-14,92915.741168458
2005-06-15,93123.00934549047
2005-06-16,93740.73945565893
2005-06-17,93792.26657052709
2005-06-20,93755.23680825903
2005-06-21,93852.5871576853
2005-06-22,94002.45969339086
2005-06-23,93596.64694925024
2005-06-24,93077.85800119115
2005-06-27,92898.07728906347
2005-06-28,93005.50128884985
2005-06-29,92987.52936883642
2005-06-30,92637.63720269872
2005-07-01,91935.01732965185
2005-07-05,92100.8454527464
2005-07-06,91913.58469148542
2005-07-07,92191.44149347211
2005-07-08,92943.36286493207
2005-07-11,93455.92600389387
2005-07-12,93668.3621286955
2005-07-13,93633.19856210615
2005-07-14,93884.55706926252
2005-07-15,94093.69874521162
2005-07-18,93835.20833917524
2005-07-19,94404.29196687604
2005-07-20,94909.61731096174
2005-07-21,94833.68890901472
2005-07-22,94892.84791513349
2005-07-25,94685.47844453718
2005-07-26,94780.916753253
2005-07-27,95198.22197671796
2005-07-28,95670.5099348631
2005-07-29,95152.93045946027
2005-08-01,95223.25050302412
2005-08-02,96000.71649471951
2005-08-03,95981.16541210843
2005-08-04,95138.72881619168
2005-08-05,94681.61209789944
2005-08-08,94035.7200004263
2005-08-09,94619.54434124661
2005-08-10,93886.48391262723
2005-08-11,94612.20332638455
2005-08-12,94178.4811507864
2005-08-15,94680.59467999173
2005-08-16,93353.4753104849
2005-08-17,93809.73497311307
2005-08-18,93431.0829993887
2005-08-19,93382.67167965604
2005-08-22,93433.30262676907
2005-08-23,93215.33172527982
2005-08-24,92726.8828078909
2005-08-25,92925.30262676907
2005-08-26,92631.17040554715
2005-08-29,93280.7293464346
2005-08-30,93025.11082379056
2005-08-31,93858.75186077786
2005-09-01,93709.07864681912
2005-09-02,93389.5721377554
2005-09-06,94581.05102722073
2005-09-07,94700.96050445462
2005-09-08,94679.55409805203
2005-09-09,95158.05851165677
2005-09-12,95364.68017761136
2005-09-13,95178.40285674954
