Date,Value
2005-01-28,100000.0
2005-01-31,100000.0
2005-02-01,100000.0
2005-02-02,99756.78183097839
2005-02-03,98744.7010509491
2005-02-04,100205.21746940613
2005-02-07,100018.13318748474
2005-02-08,100220.55186576843
2005-02-09,98754.68879051208
2005-02-10,98815.17150230407
2005-02-11,100096.55952568054
2005-02-14,100518.02537651062
2005-02-15,101098.73487205505
2005-02-16,100718.2762462616
2005-02-17,99481.7102443695
2005-02-18,99179.33415336609
2005-02-22,98074.91646690368
2005-02-23,98207.9343044281
2005-02-24,99308.33710594177
2005-02-25,99825.95532341003
2005-02-28,98818.35035057068
2005-03-01,99755.82025260925
2005-03-02,99712.57382949829
2005-03-03,98971.41036209106
2005-03-04,99528.45333084106
2005-03-07,100846.13549026489
2005-03-08,99894.69293960571
2005-03-09,99538.73169692993
2005-03-10,99432.53298171997
2005-03-11,98580.0079725647
2005-03-14,98985.09252151489
2005-03-15,98229.09461196899
2005-03-16,97259.5696333313
2005-03-17,97452.48999771118
2005-03-18,96945.84801467895
2005-03-21,97101.57663711548
2005-03-22,95944.25460037231
2005-03-23,96282.84801467895
2005-03-24,96326.97341140747
2005-03-28,96480.05236038208
2005-03-29,95804.25038894653
2005-03-30,97452.73101028442
2005-03-31,97104.09113296508
2005-04-01,96190.61400588989
2005-04-04,96666.62666647338
2005-04-05,96916.63168470764
2005-04-06,96830.88833563232
2005-04-07,97680.12519972229
2005-04-08,97105.30732672119
2005-04-11,96824.46743719482
2005-04-12,97237.24828283691
2005-04-13,96036.45077268982
2005-04-14,94819.83641188049
2005-04-15,93195.59216635131
2005-04-18,93275.85737364196
2005-04-19,93948.54237882995
2005-04-20,93387.36964361572
2005-04-21,95182.80552809143
2005-04-22,94187.91906492614
2005-04-25,94806.33026831054
2005-04-26,94165.61615698242
2005-04-27,94209.64495985412
2005-04-28,93482.41867773437
2005-04-29,94009.24693243408
2005-05-02,94165.20570509338
2005-05-03,93816.06459482956
2005-05-04,93861.31193980026
2005-05-05,93992.90592821884
2005-05-06,93300.8906389122
2005-05-09,93173.48737200546
2005-05-10,93175.82000407028
2005-05-11,93335.87304171371
2005-05-12,92598.61040743637
2005-05-13,92586.50964030075
2005-05-16,92450.72307642746
2005-05-17,92486.65327318954
2005-05-18,92875.82403429794
2005-05-19,92733.50202807235
2005-05-20,92366.74341830063
2005-05-23,92517.01623209762
2005-05-24,92692.93900736618
2005-05-25,92860.45301684189
2005-05-26,92675.21309336471
2005-05-27,92971.50688608932
2005-05-31,92872.61360606003
2005-06-01,92871.698252285
2005-06-02,93820.36194971656
2005-06-03,93046.62789515113
2005-06-06,93267.88268545723
2005-06-07,92890.17130449867
2005-06-08,92701.29060820198
2005-06-09,92921.2501447544
2005-06-10,92482.02877405738
2005-06-13,92696.5502355442
2005-06-14,92393.13272074318
2005-06-15,92556.45075014686
2005-06-16,93111.7820747242
2005-06-17,93189.67766550636
2005-06-20,93161.85012987709
2005-06-21,93264.74980429267
2005-06-22,93403.57206705665
2005-06-23,93046.29052237129
2005-06-24,92533.82155493354
2005-06-27,92372.71996000862
2005-06-28,92509.92276457405
2005-06-29,92516.43986490821
2005-06-30,92172.99954203224
2005-07-01,91562.01163176155
2005-07-05,91749.36529230689
2005-07-06,91564.83392214392
2005-07-07,91849.38550734137
2005-07-08,92641.67421125983
2005-07-11,93016.99149965857
2005-07-12,93236.63360952948
2005-07-13,93287.08262037848
2005-07-14,93595.96294664954
2005-07-15,93810.11241697882
2005-07-18,93574.53285383795
2005-07-19,94125.6945788822
2005-07-20,94608.11198877906
2005-07-21,94590.91478991126
2005-07-22,94648.56184935187
2005-07-25,94486.36432718848
2005-07-26,94567.58244585608
2005-07-27,94986.70627379035
2005-07-28,95443.35332750891
2005-07-29,95026.3361213169
2005-08-01,95061.68515562628
2005-08-02,95823.35114174269
2005-08-03,95802.41034202956
2005-08-04,94968.1934879341
2005-08-05,94545.8268611946
2005-08-08,93883.51490288161
2005-08-09,94454.7788570442
2005-08-10,93735.07886391066
2005-08-11,94448.11790352248
2005-08-12,94022.05583076857
2005-08-15,94521.97911339186
2005-08-16,93177.38049583815
2005-08-17,93644.98943977736
2005-08-18,93243.22760277175
2005-08-19,93192.04675178908
2005-08-22,93230.62811546706
2005-08-23,93002.89650230788
2005-08-24,92507.56740456008
2005-08-25,92717.71765404128
2005-08-26,92454.76539497756
2005-08-29,93097.30394249342
2005-08-30,92812.96527367018
2005-08-31,93648.52647667311
2005-09-01,93455.50382118605
2005-09-02,93136.98970451734
2005-09-06,94335.64877739332
2005-09-07,94452.36800041578
2005-09-08,94433.47211113355
2005-09-09,94907.48619499586
2005-09-12,95119.48759880445
2005-09-13,94921.47105827711
