year,final_asset_ratio,profit_ratio,CAGR,MDD,Sharpe,Sortino,Std_Dev
2009,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00
2010,1.0000,0.0000,0.00,0.00,-92778218580649600.00,-92778218580649600.00,0.00
2011,1.1366,0.1366,13.66,-2.97,1.65,2.42,0.07
2012,1.0448,0.0448,4.52,-2.85,0.69,1.00,0.05
2013,0.9876,-0.0124,-1.24,-7.50,-0.29,-0.40,0.07
2014,1.1024,0.1024,10.24,-2.87,1.90,2.60,0.05
2015,0.9518,-0.0482,-4.82,-8.62,-0.77,-1.08,0.07
2016,1.0413,0.0413,4.13,-8.43,0.51,0.71,0.06
2017,1.0976,0.0976,9.80,-2.65,1.79,2.97,0.05
2018,0.9522,-0.0478,-4.80,-8.21,-0.94,-1.33,0.06
2019,1.1601,0.1601,16.01,-3.10,2.53,3.95,0.06
2020,1.1372,0.1372,13.66,-13.45,1.14,1.23,0.11
2021,1.0773,0.0773,7.73,-4.99,0.93,1.34,0.07
2022,0.8159,-0.1841,-18.47,-20.95,-1.71,-2.88,0.12
2023,1.0683,0.0683,6.88,-10.30,0.63,1.05,0.10
2024,1.0365,0.0365,3.65,-4.56,0.36,0.52,0.08
2025,1.0192,0.0192,11.49,-1.89,1.32,2.23,0.08
